family,specification_id,specification_label,outcome,estimator,event_window,joint_lead_window,joint_lead_count,joint_lead_p_value,lead_covariance_positive_semidefinite,linear_pretrend_coefficient,linear_pretrend_p_value,dynamic_pre_coefficients,dynamic_pre_p_lt_005,pretrend_status,n_obs,minimum_clusters
national,00_frozen_exact_model,"Frozen exact model, full sample, window -23…+23",admissoes,ppml,-23_to_23,-23_to_-2,22,2.1241502209470884e-52,True,-0.0059792686725433,7.238654120556022e-13,22,3,fail,15935,
national,00_frozen_exact_model,"Frozen exact model, full sample, window -23…+23",desligamentos,ppml,-23_to_23,-23_to_-2,22,2.1283599866577845e-18,True,0.003337026501398,7.63773451817329e-06,22,10,fail,15935,
national,00_frozen_exact_model,"Frozen exact model, full sample, window -23…+23",n_movimentacoes,ppml,-23_to_23,-23_to_-2,22,4.347510641247265e-43,True,-0.002598517595827,0.0010640239408303,22,1,fail,15935,
national,00_frozen_exact_model,"Frozen exact model, full sample, window -23…+23",ln_salario_real_adm,ols,-23_to_23,-23_to_-2,22,0.0001580097966667,True,-0.0005836785346436,0.2207980597002192,22,11,fail,15907,
national,00_frozen_exact_model,"Frozen exact model, full sample, window -23…+23",asinh_saldo,ols,-23_to_23,-23_to_-2,22,1.4831703467492206e-06,True,0.0021252506543727,0.9198287047287516,22,21,fail,15935,
power,balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",admissoes,ppml,-23_to_23,-23_to_-2,22,2.1241502209470884e-52,True,-0.0059792686725433,7.238654120556022e-13,22,3,fail,15935,341.0
power,balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",admissoes,ppml,-23_to_23,-11_to_-2,10,1.7330574829789315e-06,True,-0.0023953446365332,0.3443414058478509,10,2,fail,15935,341.0
power,extended_full_sample,"Full sample, diagnostic window -23 to +41",admissoes,ppml,-23_to_41,-23_to_-2,22,2.1336226754213498e-52,True,-0.0059792756776175,7.245315458703773e-13,22,3,fail,22049,341.0
power,extended_full_sample,"Full sample, diagnostic window -23 to +41",admissoes,ppml,-23_to_41,-11_to_-2,10,1.7340701308010229e-06,True,-0.0023953510604956,0.344347786090311,10,2,fail,22049,341.0
power,balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",desligamentos,ppml,-23_to_23,-23_to_-2,22,2.1283599866577845e-18,True,0.003337026501398,7.63773451817329e-06,22,10,fail,15935,341.0
power,balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",desligamentos,ppml,-23_to_23,-11_to_-2,10,0.0001440014139772,True,-0.0091621466838205,6.667730091125534e-05,10,9,fail,15935,341.0
power,extended_full_sample,"Full sample, diagnostic window -23 to +41",desligamentos,ppml,-23_to_41,-23_to_-2,22,2.1321858086628818e-18,True,0.0033370358909276,7.639766715028529e-06,22,10,fail,22049,341.0
power,extended_full_sample,"Full sample, diagnostic window -23 to +41",desligamentos,ppml,-23_to_41,-11_to_-2,10,0.0001440627635612,True,-0.0091621374600262,6.669614726861894e-05,10,9,fail,22049,341.0
power,balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",n_movimentacoes,ppml,-23_to_23,-23_to_-2,22,4.347510641247265e-43,True,-0.002598517595827,0.0010640239408303,22,1,fail,15935,341.0
power,balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",n_movimentacoes,ppml,-23_to_23,-11_to_-2,10,3.213789530428929e-06,True,-0.0041173447501517,0.0201416184635168,10,0,fail,15935,341.0
