model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,level_id,role,substantive_interpretation_allowed
level_2__admissoes,admissoes,post_treat,ppml,-0.0750759843556975,0.035644091101650476,-0.14518669017539976,-0.004965278535995238,0.03591369010309342,340,"{""cbo_4d"": 341}",341,804574,804929,804929,355,0,355,161,True,admissoes ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d,,-7.232700498435592,level_2,co_principal_sector,True
level_2__desligamentos,desligamentos,post_treat,ppml,-0.06644614134861952,0.03482772252050209,-0.13495107814281584,0.0020587954455768,0.05725252876485065,340,"{""cbo_4d"": 341}",341,804665,804929,804929,264,0,264,70,True,desligamentos ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d,,-6.428668924378599,level_2,co_principal_sector,True
level_2__n_movimentacoes,n_movimentacoes,post_treat,ppml,-0.07066500181561794,0.03430272995107525,-0.13813729621510018,-0.0031927074161356844,0.04015536187584212,340,"{""cbo_4d"": 341}",341,804735,804929,804929,194,0,194,0,True,n_movimentacoes ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d,,-6.822601755779837,level_2,co_principal_sector,True
level_2__ln_salario_real_adm,ln_salario_real_adm,post_treat,ols,-0.03559820334302987,0.006438191980342569,-0.04826190635785196,-0.022934500328207784,6.419984566186088e-08,340,"{""cbo_4d"": 341}",341,682889,804929,683175,122040,121754,286,0,True,ln_salario_real_adm ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d,,,level_2,co_principal_sector,True
level_2__asinh_saldo,asinh_saldo,post_treat,ols,-0.13949363310444285,0.07342699346913788,-0.28392201321543264,0.0049347470065469745,0.05831061934739257,340,"{""cbo_4d"": 341}",341,804735,804929,804929,194,0,194,0,True,asinh_saldo ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d,,,level_2,co_principal_sector,True
level_2_two_way__admissoes,admissoes,post_treat,ppml,-0.0750759843556975,0.03840318390463919,-0.15141898726821693,0.0012670185568219305,0.05383801463308391,86,"{""cbo_4d"": 341, ""divisao"": 87}",87,804574,804929,804929,355,0,355,161,True,admissoes ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d + divisao,,-7.232700498435592,level_2_two_way,inference_robustness,True
level_2_two_way__desligamentos,desligamentos,post_treat,ppml,-0.06644614134861952,0.03819496423778492,-0.14237521726298766,0.009482934565748613,0.08549689058849319,86,"{""cbo_4d"": 341, ""divisao"": 87}",87,804665,804929,804929,264,0,264,70,True,desligamentos ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d + divisao,,-6.428668924378599,level_2_two_way,inference_robustness,True
level_2_two_way__n_movimentacoes,n_movimentacoes,post_treat,ppml,-0.07066500181561794,0.03770086241962058,-0.1456118358242923,0.004281832193056417,0.06427582990440883,86,"{""cbo_4d"": 341, ""divisao"": 87}",87,804735,804929,804929,194,0,194,0,True,n_movimentacoes ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d + divisao,,-6.822601755779837,level_2_two_way,inference_robustness,True
level_2_two_way__ln_salario_real_adm,ln_salario_real_adm,post_treat,ols,-0.03559820334302987,0.006913073432461941,-0.04934093848966305,-0.02185546819639669,1.6355640253262749e-06,86,"{""cbo_4d"": 341, ""divisao"": 87}",87,682889,804929,683175,122040,121754,286,0,True,ln_salario_real_adm ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d + divisao,,,level_2_two_way,inference_robustness,True
level_2_two_way__asinh_saldo,asinh_saldo,post_treat,ols,-0.13949363310444285,0.07967045699271545,-0.2978732597869554,0.018885993578069693,0.0835319129883274,86,"{""cbo_4d"": 341, ""divisao"": 87}",87,804735,804929,804929,194,0,194,0,True,asinh_saldo ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d + divisao,,,level_2_two_way,inference_robustness,True
level_3__admissoes,admissoes,post_treat,ppml,-0.08557463786625663,0.03531314474836826,-0.155034383549231,-0.016114892183282284,0.015901420507419717,340,"{""cbo_4d"": 341}",341,804574,804929,804929,355,0,355,161,True,admissoes ~ post_treat | cbo_section + section_period + cbo2_period,cbo_section + section_period + cbo2_period,cbo_4d,,-8.201537591646217,level_3,support_diagnostic,True
level_3__desligamentos,desligamentos,post_treat,ppml,-0.08702093106696078,0.022942044484004383,-0.13214714643694883,-0.04189471569697272,0.00017606441468998035,340,"{""cbo_4d"": 341}",341,804665,804929,804929,264,0,264,70,True,desligamentos ~ post_treat | cbo_section + section_period + cbo2_period,cbo_section + section_period + cbo2_period,cbo_4d,,-8.334209119571671,level_3,support_diagnostic,True
level_3__n_movimentacoes,n_movimentacoes,post_treat,ppml,-0.08582174353710191,0.02859480235574741,-0.1420667399439118,-0.029576747130292007,0.00288700119258678,340,"{""cbo_4d"": 341}",341,804735,804929,804929,194,0,194,0,True,n_movimentacoes ~ post_treat | cbo_section + section_period + cbo2_period,cbo_section + section_period + cbo2_period,cbo_4d,,-8.224218709850323,level_3,support_diagnostic,True
level_3__ln_salario_real_adm,ln_salario_real_adm,post_treat,ols,-0.0375878050322858,0.010869139884285128,-0.05896703074369751,-0.01620857932087409,0.0006128635222499845,340,"{""cbo_4d"": 341}",341,682887,804929,683175,122042,121754,288,0,True,ln_salario_real_adm ~ post_treat | cbo_section + section_period + cbo2_period,cbo_section + section_period + cbo2_period,cbo_4d,,,level_3,support_diagnostic,True
